"ID","OBSERVE_DATE","RATE"
"1","1955-01-28","2.63"
"2","1955-02-28","1.94"
"3","1955-03-28","3.38"
"4","1955-04-28","4.92"
"5","1955-05-28","6.29"
"6","1955-06-28","5.58"
"7","1955-07-28","5.5"
"8","1955-08-28","4.71"
"9","1955-09-28","6.04"
"10","1955-10-28","7.13"
"11","1955-11-28","7.79"
"12","1955-12-28","3.83"
"13","1956-01-28","3.83"
"14","1956-02-28","4.25"
"15","1956-03-28","5.29"
"16","1956-04-28","3.75"
"17","1956-05-28","4.67"
"18","1956-06-28","5.42"
"19","1956-07-28","6.04"
"20","1956-08-28","5.71"
"21","1956-09-28","8.13"
"22","1956-10-28","4.88"
"23","1956-11-28","5.42"
"24","1956-12-28","5.5"
"25","1957-01-28","3"
"26","1957-02-28","3.42"
"27","1957-03-28","4.5"
"28","1957-04-28","4.25"
"29","1957-05-28","4"
"30","1957-06-28","5.33"
"31","1957-07-28","5.79"
"32","1957-08-28","6.58"
"33","1957-09-28","7.29"
"34","1957-10-28","5.04"
"35","1957-11-28","5.04"
"36","1957-12-28","4.48"
"37","1958-01-28","3.33"
"38","1958-02-28","2.88"
"39","1958-03-28","2.5"
"40","1958-04-28","3.83"
"41","1958-05-28","4.17"
"42","1958-06-28","4.42"
"43","1958-07-28","4.25"
"44","1958-08-28","4.08"
"45","1958-09-28","4.88"
"46","1958-10-28","4.54"
"47","1958-11-28","4.25"
"48","1958-12-28","4.21"
"49","1959-01-28","2.75"
"50","1959-02-28","2.42"
"51","1959-03-28","4.5"
"52","1959-04-28","5.21"
"53","1959-05-28","4"
"54","1959-06-28","7.54"
"55","1959-07-28","7.38"
"56","1959-08-28","5.96"
"57","1959-09-28","5.08"
"58","1959-10-28","5.46"
"59","1959-11-28","4.79"
"60","1959-12-28","2.67"
"61","1960-01-28","1.71"
"62","1960-02-28","1.92"
"63","1960-03-28","3.38"
"64","1960-04-28","3.98"
"65","1960-05-28","4.63"
"66","1960-06-28","4.88"
"67","1960-07-28","5.17"
"68","1960-08-28","4.83"
"69","1960-09-28","5.29"
"70","1960-10-28","3.71"
"71","1960-11-28","2.46"
"72","1960-12-28","2.17"
"73","1961-01-28","2.15"
"74","1961-02-28","2.44"
"75","1961-03-28","2.54"
"76","1961-04-28","3.25"
"77","1961-05-28","2.81"
"78","1961-06-28","4.21"
"79","1961-07-28","4.13"
"80","1961-08-28","4.17"
"81","1961-09-28","3.75"
"82","1961-10-28","3.83"
"83","1961-11-28","2.42"
"84","1961-12-28","2.17"
"85","1962-01-28","2.33"
"86","1962-02-28","2"
"87","1962-03-28","2.13"
"88","1962-04-28","4.46"
"89","1962-05-28","3.17"
"90","1962-06-28","3.25"
"91","1962-07-28","4.08"
"92","1962-08-28","5.42"
"93","1962-09-28","4.5"
"94","1962-10-28","4.88"
"95","1962-11-28","2.83"
"96","1962-12-28","2.75"
"97","1963-01-28","1.63"
"98","1963-02-28","3.04"
"99","1963-03-28","2.58"
"100","1963-04-28","2.92"
"101","1963-05-28","3.29"
"102","1963-06-28","3.71"
"103","1963-07-28","4.88"
"104","1963-08-28","4.63"
"105","1963-09-28","4.83"
"106","1963-10-28","3.42"
"107","1963-11-28","2.38"
"108","1963-12-28","2.33"
"109","1964-01-28","1.5"
"110","1964-02-28","2.25"
"111","1964-03-28","2.63"
"112","1964-04-28","2.96"
"113","1964-05-28","3.46"
"114","1964-06-28","4.33"
"115","1964-07-28","5.42"
"116","1964-08-28","4.79"
"117","1964-09-28","4.38"
"118","1964-10-28","4.54"
"119","1964-11-28","2.04"
"120","1964-12-28","1.33"
"121","1965-01-28","2.04"
"122","1965-02-28","2.81"
"123","1965-03-28","2.67"
"124","1965-04-28","4.08"
"125","1965-05-28","3.9"
"126","1965-06-28","3.96"
"127","1965-07-28","4.5"
"128","1965-08-28","5.58"
"129","1965-09-28","4.52"
"130","1965-10-28","5.88"
"131","1965-11-28","3.67"
"132","1965-12-28","1.79"
"133","1966-01-28","1.71"
"134","1966-02-28","1.92"
"135","1966-03-28","3.58"
"136","1966-04-28","4.4"
"137","1966-05-28","3.79"
"138","1966-06-28","5.52"
"139","1966-07-28","5.5"
"140","1966-08-28","5"
"141","1966-09-28","5.48"
"142","1966-10-28","4.81"
"143","1966-11-28","2.42"
"144","1966-12-28","1.46"
"145","1967-01-28","1.71"
"146","1967-02-28","2.46"
"147","1967-03-28","2.42"
"148","1967-04-28","1.79"
"149","1967-05-28","3.63"
"150","1967-06-28","3.54"
"151","1967-07-28","4.88"
"152","1967-08-28","4.96"
"153","1967-09-28","3.63"
"154","1967-10-28","5.46"
"155","1967-11-28","3.08"
"156","1967-12-28","1.75"
"157","1968-01-28","2.13"
"158","1968-02-28","2.58"
"159","1968-03-28","2.75"
"160","1968-04-28","3.15"
"161","1968-05-28","3.46"
"162","1968-06-28","3.33"
"163","1968-07-28","4.67"
"164","1968-08-28","4.13"
"165","1968-09-28","4.73"
"166","1968-10-28","3.42"
"167","1968-11-28","3.08"
"168","1968-12-28","1.79"
"169","1969-01-28","1.96"
"170","1969-02-28","1.63"
"171","1969-03-28","2.75"
"172","1969-04-28","3.06"
"173","1969-05-28","4.31"
"174","1969-06-28","3.31"
"175","1969-07-28","3.71"
"176","1969-08-28","5.25"
"177","1969-09-28","3.67"
"178","1969-10-28","3.1"
"179","1969-11-28","2.25"
"180","1969-12-28","2.29"
"181","1970-01-28","1.25"
"182","1970-02-28","2.25"
"183","1970-03-28","2.67"
"184","1970-04-28","3.23"
"185","1970-05-28","3.58"
"186","1970-06-28","3.04"
"187","1970-07-28","3.75"
"188","1970-08-28","4.54"
"189","1970-09-28","4.46"
"190","1970-10-28","2.83"
"191","1970-11-28","1.63"
"192","1970-12-28","1.17"
"193","1971-01-28","1.79"
"194","1971-02-28","1.92"
"195","1971-03-28","2.25"
"196","1971-04-28","2.96"
"197","1971-05-28","2.38"
"198","1971-06-28","3.38"
"199","1971-07-28","3.38"
"200","1971-08-28","3.21"
"201","1971-09-28","2.58"
"202","1971-10-28","2.42"
"203","1971-11-28","1.58"
"204","1971-12-28","1.21"
